phase,label,raw,step,epoch,qp_hit,po_hit,qp_f1,po_f1,qp_qa,po_qa
early-step,S0,Step 0,0,,4.0,4.0,16.92885641209096,19.506551658981962,8.46442820604548,9.753275829490981
early-step,S100,Step 100,100,,8.0,5.0,34.12102714844795,30.94213537891402,17.060513574223975,15.47106768945701
early-step,S250,Step 250,250,,19.0,5.0,26.622155127581348,30.58074587209083,13.311077563790674,15.290372936045415
early-step,S500,Step 500,500,,38.0,13.0,45.24265976401987,31.322675079588585,22.621329882009935,15.661337539794292
early-step,S1k,Step 1000,1000,,72.0,19.0,61.135620413827205,35.36462401236624,31.067810206913606,17.68231200618312
early-step,S1.6k,Step 1600,1600,,82.0,28.000000000000004,70.85678919659044,41.545141231665255,35.42839459829522,20.772570615832628
early-step,S2.4k,Step 2400,2400,,85.0,40.0,73.85967655511975,48.765542357264394,36.929838277559874,24.382771178632197
early-step,S3.2k,Step 3200,3200,,84.0,43.0,73.05945380459781,50.49574391667924,36.529726902298904,25.24787195833962
epoch,E1,Epoch 1,,1,94.0,66.75,80.76313148580823,64.24719359458027,40.381565742904115,32.12359679729013
epoch,E2,Epoch 2,,2,93.25,59.0,81.52744370991546,65.66190302921075,40.76372185495773,32.830951514605374
epoch,E3,Epoch 3,,3,97.0,81.5,82.5602921662004,75.59656649119611,41.2801460831002,37.79828324559806
epoch,E4,Epoch 4,,4,77.75,83.25,67.7873019848657,74.66157711177173,33.89365099243285,37.33078855588587
epoch,E5,Epoch 5,,5,97.75,78.25,84.00532595585526,73.46708064298386,42.00266297792763,36.73354032149193
epoch,E6,Epoch 6,,6,96.25,79.75,83.05697147970848,73.26255146206456,41.52848573985424,36.63127573103228
epoch,E7,Epoch 7,,7,96.75,78.25,82.54512701716787,72.71495860710064,41.272563508583936,36.48247930355033
epoch,E8,Epoch 8,,8,97.0,76.75,83.00084687324839,71.29979652771851,41.500423436624196,35.89989826385926
epoch,E9,Epoch 9,,9,97.5,76.25,82.98064195067234,70.20346385862248,41.49032097533617,35.47673192931124
epoch,E10,Epoch 10,,10,97.75,71.5,82.40808587450657,68.07519939768657,41.204042937253284,34.41259969884329
