label,phase,qp_hit,po_hit,qp_f1,po_f1
S0,step,4.0,4.0,16.92885641209096,19.506551658981962
S100,step,8.0,5.0,34.12102714844795,30.94213537891402
S250,step,19.0,5.0,26.622155127581348,30.58074587209083
S500,step,38.0,13.0,45.24265976401987,31.322675079588585
S1k,step,72.0,19.0,61.135620413827205,35.36462401236624
S1.6k,step,82.0,28.000000000000004,70.85678919659044,41.545141231665255
S2.4k,step,85.0,40.0,73.85967655511975,48.765542357264394
S3.2k,step,84.0,43.0,73.05945380459781,50.49574391667924
E1,epoch,94.0,66.75,80.76313148580823,64.24719359458027
E2,epoch,93.25,59.0,81.52744370991546,65.66190302921075
E3,epoch,97.0,81.5,82.5602921662004,75.59656649119611
E4,epoch,77.75,83.25,67.7873019848657,74.66157711177173
E5,epoch,97.75,78.25,84.00532595585526,73.46708064298386
E6,epoch,96.25,79.75,83.05697147970848,73.26255146206456
E7,epoch,96.75,78.25,82.54512701716787,72.71495860710064
E8,epoch,97.0,76.75,83.00084687324839,71.29979652771851
E9,epoch,97.5,76.25,82.98064195067234,70.20346385862248
E10,epoch,97.75,71.5,82.40808587450657,68.07519939768657
