step,kind,objective,main_gold,main_neg,neg_gold,neg_neg,rank,main_ok,neg_ok,lr,elapsed_min,cumulative_elapsed_min,group_qas,group_main_rate,group_neg_rate
1251,example,0.425781,1.703125,0.0,0.0,0.0,0.0,True,False,4.973392960157583e-05,0.0326,0.0326,,,
1252,example,1.125,0.176758,0.0,0.0,0.0,0.0,True,False,4.9733504832367925e-05,0.0412,0.0412,,,
1253,group,25.125,25.125,0.0,0.0,0.0,0.0,True,False,4.973307972622224e-05,0.1523,0.1523,4,1.0,0.0
1254,example,4.09375,1.65625,0.0,0.0,0.0,0.0,True,False,4.9732654283144676e-05,0.1693,0.1693,,,
1255,example,0.186523,0.043701,0.0,0.0,0.0,0.0,True,False,4.973222850314114e-05,0.1791,0.1791,,,
1256,group,5.28125,5.28125,0.0,0.0,0.0,0.0,True,False,4.9731802386217557e-05,0.3005,0.3005,4,1.0,0.0
1257,example,0.429688,1.71875,0.0,0.0,0.0,0.0,True,False,4.973137593237986e-05,0.332,0.332,,,
1258,example,5.34375,0.683594,0.0,0.0,0.0,0.0,True,False,4.973094914163396e-05,0.3409,0.3409,,,
1259,example,4.6875,0.640625,0.0,0.0,0.0,0.0,True,False,4.9730522013985816e-05,0.3495,0.3495,,,
1260,group,2.984375,2.984375,0.0,0.0,0.0,0.0,True,False,4.973009454944135e-05,0.4751,0.4751,4,1.0,0.0
1261,example,0.125,0.09375,0.0,0.0,0.0,0.0,True,False,4.97296667480065e-05,0.4925,0.4925,,,
1262,example,0.277344,0.192383,0.0,0.0,0.0,0.0,True,False,4.972923860968722e-05,0.5012,0.5012,,,
1263,example,2.390625,0.176758,0.0,0.0,0.0,0.0,True,False,4.972881013448948e-05,0.5101,0.5101,,,
1264,example,1.976562,1.976562,0.0,0.0,0.0,0.0,True,False,4.9728381322419206e-05,0.5181,0.5181,,,
1265,example,9.25,1.585938,0.0,0.0,0.0,0.0,True,False,4.972795217348239e-05,0.5268,0.5268,,,
1266,example,1.390625,0.206055,0.0,0.0,0.0,0.0,True,False,4.972752268768498e-05,0.5353,0.5353,,,
1267,group,12.0,12.0,0.0,0.0,0.0,0.0,True,False,4.972709286503295e-05,0.6091,0.6091,4,1.0,0.0
1268,example,0.554688,0.077148,0.0,0.0,0.0,0.0,True,False,4.972666270553228e-05,0.6264,0.6264,,,
1269,example,0.28125,1.125,0.0,0.0,0.0,0.0,True,False,4.972623220918896e-05,0.6353,0.6353,,,
1270,example,0.408203,1.632812,0.0,0.0,0.0,0.0,True,False,4.9725801376008964e-05,0.6447,0.6447,,,
1271,example,1.398438,0.933594,0.0,0.0,0.0,0.0,True,False,4.972537020599828e-05,0.654,0.654,,,
1272,group,9.875,9.875,0.0,0.0,0.0,0.0,True,False,4.9724938699162895e-05,0.7656,0.7656,4,1.0,0.0
1273,example,0.675781,2.703125,0.0,0.0,0.0,0.0,True,False,4.972450685550884e-05,0.7857,0.7857,,,
1274,example,1.0625,0.243164,0.0,0.0,0.0,0.0,True,False,4.972407467504208e-05,0.7946,0.7946,,,
1275,example,2.453125,0.204102,0.0,0.0,0.0,0.0,True,False,4.972364215776866e-05,0.8032,0.8032,,,
1276,example,10.125,0.472656,0.0,0.0,0.0,0.0,True,False,4.972320930369457e-05,0.8115,0.8115,,,
1277,example,0.472656,1.890625,0.0,0.0,0.0,0.0,True,False,4.972277611282584e-05,0.8195,0.8195,,,
1278,group,13.25,13.25,0.0,0.0,0.0,0.0,True,False,4.972234258516849e-05,0.917,0.917,4,1.0,0.0
1279,example,11.8125,1.429688,0.0,0.0,0.0,0.0,True,False,4.9721908720728535e-05,0.935,0.935,,,
1280,example,11.1875,1.265625,0.0,0.0,0.0,0.0,True,False,4.972147451951202e-05,0.9455,0.9455,,,
1281,example,11.0,0.636719,0.0,0.0,0.0,0.0,True,False,4.972103998152499e-05,0.9575,0.9575,,,
1282,example,0.421875,1.6875,0.0,0.0,0.0,0.0,True,False,4.972060510677347e-05,0.9663,0.9663,,,
