epoch,qp_hit,qp_f1,qp_qa,qp_time,p_hit,p_f1,p_qa,p_time
1,0.94,0.8076313148580823,0.40381565742904113,3.408304809001274,0.6675,0.6424719359458027,0.3212359679729013,3.6646395437492174
2,0.9325,0.8152744370991546,0.4076372185495773,3.5656000555003993,0.59,0.6566190302921074,0.3283095151460537,3.6162602000012702
3,0.97,0.825602921662004,0.412801460831002,3.660743708249502,0.815,0.7559656649119612,0.3779828324559806,3.4336478145004365
4,0.7775,0.6778730198486571,0.33893650992432856,4.096729439249029,0.8325,0.7466157711177174,0.3733078855588587,3.5710660317495058
5,0.9775,0.8400532595585526,0.4200266297792763,3.5231683347496436,0.7825,0.7346708064298386,0.3673354032149193,3.44320322075102
6,0.9625,0.8305697147970847,0.4152848573985424,3.5254808877508914,0.7975,0.7326255146206456,0.3663127573103228,3.612486831999413
7,0.9675,0.8254512701716787,0.41272563508583937,3.531383510748419,0.7825,0.7271495860710064,0.3648247930355033,3.602126293249603
8,0.97,0.8300084687324839,0.41500423436624195,3.5707899869985704,0.7675,0.7129979652771852,0.3589989826385926,3.623469557248609
9,0.975,0.8298064195067234,0.4149032097533617,3.56691820225009,0.7625,0.7020346385862248,0.35476731929311245,3.712037049500359
10,0.9775,0.8240808587450656,0.4120404293725328,3.59161153849971,0.715,0.6807519939768657,0.3441259969884329,3.694291347747785
