stage,label,qp_hit,p_hit,qp_f1,p_f1,qp_qa,p_qa
step_0,Step 0,0.04,0.04,0.1692885641209096,0.19506551658981963,0.0846442820604548,0.09753275829490982
step_100,Step 100,0.08,0.05,0.3412102714844795,0.3094213537891402,0.17060513574223976,0.1547106768945701
step_250,Step 250,0.19,0.05,0.2662215512758135,0.3058074587209083,0.13311077563790674,0.15290372936045415
step_500,Step 500,0.38,0.13,0.4524265976401987,0.31322675079588586,0.22621329882009936,0.15661337539794293
step_1000,Step 1000,0.72,0.19,0.6113562041382721,0.3536462401236624,0.31067810206913604,0.1768231200618312
step_1600,Step 1600,0.82,0.28,0.7085678919659044,0.41545141231665256,0.3542839459829522,0.20772570615832628
step_2400,Step 2400,0.85,0.4,0.7385967655511975,0.48765542357264396,0.36929838277559873,0.24382771178632198
epoch_1,Epoch 1,0.94,0.6675,0.8076313148580823,0.6424719359458027,0.40381565742904113,0.3212359679729013
epoch_2,Epoch 2,0.9325,0.59,0.8152744370991546,0.6566190302921074,0.4076372185495773,0.3283095151460537
epoch_5,Epoch 5,0.9775,0.7825,0.8400532595585526,0.7346708064298386,0.4200266297792763,0.3673354032149193
epoch_10,Epoch 10,0.9775,0.715,0.8240808587450656,0.6807519939768657,0.4120404293725328,0.3441259969884329
